Disease,context,help URL,links
Anxiety,"Everyone feels anxious from time to time. When anxious feelings don't go away, happen without any particular reason or make it hard to cope with daily life it may be the sign of an anxiety condition. Anxiety conditions affect 1 in 4 people in Australia and they are treatable. Anxiety treatments and support Anxiety in children and young people Anxiety is more than just feeling stressed or worried. Stress and anxious feelings are a common response when we feel under pressure. These feelings usually pass once the stressful situation has passed. feeling very worried or anxious most of the time finding it difficult to calm down unable to control your anxious thoughts or worries difficulty concentrating or mind going blank There are several types of anxiety disorders. Each type has different symptoms and is treated differently. Common types of anxiety include social anxiety disorder and generalised anxiety disorder (GAD). There are many evidence-based treatments for anxiety, including therapy and medication. Taking the first step in the journey to recovery can be hard. We’ve got resources to help you if you’re having anxious feelings, have been diagnosed with anxiety or are supporting someone with anxiety. Proven anxiety treatments include medication and therapy. Finding the right treatment and support can help you learn how to manage your anxiety. Learn about treatments for anxiety Your GP can be a good place to start the conversation about your mental health. We can also help you find other support that’s right for you. This could include talking to our counsellors or helping you find a mental health professional near you. Get mental health support Anonymously read, share and learn from people who are also living with anxiety. The Beyond Blue Forums is a welcoming peer support community. Visit the Beyond Blue Forum anxiety discussions There’s a range of strategies you can try by yourself to manage anxiety. These include relaxation techniques, spending time with family and friends, eating well and staying active. Learn about anxiety management strategies what the signs of anxiety might be in a child or young person how to have a conversation with them about your concerns If you’re worried about someone close to you, it can be hard to know what to say or do. We have information and resources to help you support someone with a mental health condition: Explore our guide on supporting someone --> Support someone with anxiety or depression --> If you have an anxiety condition, you’re not alone. Learn what anxiety feels like and how it can be managed. Read and watch more personal stories about anxiety",https://www.beyondblue.org.au/mental-health/anxiety,"{""mental-health"": ""https://www.beyondblue.org.au/mental-health"", ""anxiety"": ""https://www.beyondblue.org.au/mental-health/anxiety#supporting-someone-else"", ""what-is-stress"": ""https://www.beyondblue.org.au/mental-health/what-is-stress"", ""anxiety/signs-and-symptoms"": ""https://www.beyondblue.org.au/mental-health/anxiety/signs-and-symptoms"", ""anxiety/types-of-anxiety"": ""https://www.beyondblue.org.au/mental-health/anxiety/types-of-anxiety"", ""personal-stories/nicole"": ""https://www.beyondblue.org.au/mental-health/personal-stories/nicole"", ""k10"": ""https://www.beyondblue.org.au/mental-health/k10"", ""anxiety/treatments-for-anxiety"": ""https://www.beyondblue.org.au/mental-health/anxiety/treatments-for-anxiety"", ""anxiety/treatments-for-anxiety/anxiety-management-strategies"": ""https://www.beyondblue.org.au/mental-health/anxiety/treatments-for-anxiety/anxiety-management-strategies"", ""parenting"": ""https://www.beyondblue.org.au/mental-health/parenting"", ""personal-stories"": ""https://www.beyondblue.org.au/mental-health/personal-stories"", ""personal-stories/emily"": ""https://www.beyondblue.org.au/mental-health/personal-stories/emily"", ""personal-stories/georgie"": ""https://www.beyondblue.org.au/mental-health/personal-stories/georgie"", ""depression"": ""https://www.beyondblue.org.au/mental-health/depression"", ""suicide-prevention"": ""https://www.beyondblue.org.au/mental-health/suicide-prevention"", ""wellbeing-action-tool"": ""https://www.beyondblue.org.au/mental-health/wellbeing-action-tool"", ""statistics"": ""https://www.beyondblue.org.au/mental-health/statistics""}"
Depression,"Treatment and other support for depression Depression affects how you feel about yourself. It can make life more difficult to manage from day to day. You might lose interest in things you usually enjoy. You may lack energy, have trouble sleeping or sleep more than usual. Some people feel irritable and some find it hard to concentrate. Everyone experiences depression differently. Common signs and symptoms of depression can include: withdrawing from friends and family withdrawing from friends and family feeling overwhelmed, empty or numb feeling overwhelmed, empty or numb thinking nothing good ever happens thinking nothing good ever happens Sometimes people who are experiencing depression may also experience suicidal thoughts. To learn more visit Suicide prevention. There are several types of depression. Each type has different symptoms and is treated differently. Common types of depression include major depression (including postnatal depression), bipolar disorder and persistent depressive disorder (dysthymia). Learn more: Types of depression It can be hard to know whether you’re feeling depressed or have depression. Our anonymous mental health check-in can help you understand whether your symptoms are likely to go away on their own, or whether it’s time to get more support to help you feel better. It’s an evidence-based tool which asks you 10 questions about the feelings you’ve been having over the past 4 weeks. It’s sometimes called the “K10” and is widely used by GPs and mental health professionals. There are many different approaches to treating depression. These include medications, therapy (such as cognitive behaviour therapy) and lifestyle changes. We’ve got resources to help you if you’re feeling miserable, have been diagnosed with depression or are supporting someone with depression. Depression is unlikely to go away on its own. Finding the right treatment and support can help you learn how to manage your depression and start to feel better. Learn more: Treatments for depression Your GP can be a good place to start the conversation about your mental health. We can also help you find other support that’s right for you. This could include talking to our counsellors or helping you find a mental health professional near you. what the signs of depression might be in a child or young person how to have a conversation with them about your concerns If you’re worried about someone close to you, it can be hard to know what to say or do. We have information and resources to help you support someone with a mental health condition: Explore our guide on supporting someone --> Explore our guide on supporting someone --> Support someone with anxiety or depression --> Support someone with anxiety or depression --> If you have depression, you’re not alone. Learn what depression feels like and how it can be managed. Despite spending decades helping others get better, Geoff’s greatest challenge was taking care of himself.",https://www.beyondblue.org.au/mental-health/depression,"{""mental-health"": ""https://www.beyondblue.org.au/mental-health"", ""depression"": ""https://www.beyondblue.org.au/mental-health/depression#supporting-someone-else"", ""depression/signs-and-symptoms"": ""https://www.beyondblue.org.au/mental-health/depression/signs-and-symptoms"", ""suicide-prevention"": ""https://www.beyondblue.org.au/mental-health/suicide-prevention"", ""postpartum-depression"": ""https://www.beyondblue.org.au/mental-health/postpartum-depression"", ""depression/types-of-depression"": ""https://www.beyondblue.org.au/mental-health/depression/types-of-depression"", ""depression/causes-of-depression"": ""https://www.beyondblue.org.au/mental-health/depression/causes-of-depression"", ""k10"": ""https://www.beyondblue.org.au/mental-health/k10"", ""depression/treatments-for-depression"": ""https://www.beyondblue.org.au/mental-health/depression/treatments-for-depression"", ""work"": ""https://www.beyondblue.org.au/mental-health/work"", ""parenting"": ""https://www.beyondblue.org.au/mental-health/parenting#depression-children-young-people"", ""personal-stories"": ""https://www.beyondblue.org.au/mental-health/personal-stories"", ""personal-stories/geoff"": ""https://www.beyondblue.org.au/mental-health/personal-stories/geoff"", ""personal-stories/isis"": ""https://www.beyondblue.org.au/mental-health/personal-stories/isis""}"
Loneliness,"Support is available if you’re feeling lonely How does loneliness affect mental and physical health? You’re not alone if you’re feeling lonely Some help on your journey to connection and belonging Occasional loneliness is normal, but long-term loneliness can affect mental health. Long-term loneliness has been linked to depression, anxiety, and physical issues like chronic pain. It can also increase stress hormones, affecting sleep and immunity. For First Nations Peoples, even brief periods of loneliness can disrupt the deep relational and cultural ties that are central to wellbeing. Short-term loneliness affects mental, emotional and social wellbeing and is often intensified by unique historical and systemic factors. This needs culturally grounded approaches to restore community, kin, and cultural connections. Learn more about country, culture and spirituality --> Sometimes people cope with loneliness through unhealthy habits like substance misuse, gaming, overeating, or exercising or working too hard. Not everyone who feels lonely will do these things, but it’s common and understandable if loneliness is proving hard to overcome. Big life changes like moving to a new place or starting at a new job or school. Disconnection from country, culture and spirituality for First Nations Peoples. Going through a breakup, or a long-term friendship ending. Grieving the death of a family member or friend. Living with a mental health condition. Looking for a romantic relationship. Displacement, racism and systemic barriers affecting First Nations Peoples. Being excluded from a group or wider society because of culture or language, racial discrimination, disability, gender, or sexual orientation. Not being able to join in activities because of financial hardship or caring for someone else, or other barriers you can’t control. Feeling a lack of confidence in knowing how to connect with new people. Not trusting relationships and finding it hard to open up to people. A sense of belonging means feeling accepted and valued by a group, which makes us feel secure, seen and heard. Belonging is something that is relevant to all the different places we live in, like school, work, on a sports team, in a religious community, or in a country and culture. Belonging is more than just knowing people. Belonging is about getting and giving acceptance, attention, and support. Our need for belonging is common to all human beings and it includes feeling accepted for who we are: our cultural identity, ability, gender, LGBTIQ+ identity, or racial background. Feelings of loneliness for First Nations Peoples can be complicated by intergenerational trauma along with persistent discrimination. Recognising and learning from the wisdom and strengths in First Nations' connections to country and culture can foster a deeper sense of belonging and ease loneliness and disconnection. Almost 1 in 3 people feel lonely, and people in rural areas are more likely to feel lonely. 1 in 6 people are experiencing severe loneliness (reporting that they often or always feel lonely). 15-24-year-olds are feeling lonelier than any other age group. One of the biggest barriers to people reaching out for support about loneliness is a feeling of shame. More than half of people living in Australia say they don’t talk to others about feeling lonely, and nearly half say they’re too embarrassed to admit this to others. Shame can discourage people from reaching out for connection and support, which means that things get worse needlessly. Initiatives like Loneliness Awareness Week and Ending Loneliness Together are bringing together Australians from all walks of life to share their experiences of loneliness and the power of meaningful social connection. Feeling lonely can be tough, but social connection and belonging are possible for everyone. Connecting with others is a skill you can learn and practice. Making meaningful connections takes time. Feeling lonely doesn’t mean there’s something wrong with you. Understand that relationships change, and everyone goes through change. Recognise your moods and give yourself a break when you need it. Focus on things you love and enjoy and give yourself time to enjoy them. Practice self-care and reflect on how you're feeling with Beyond Blue’s Wellbeing Action Tool. The best place to start is by being comfortable in your own company – enjoy your hobbies, do things you like to do, get out into nature if that’s your thing. Start out small, saying hi to a neighbour or shopkeeper. When you're ready, reach out to friends or family, join a club, or volunteer. Physical exercise is a great way to cope with loneliness, if that’s possible for you. It boosts your mood and can be a social activity too. Engaging in activities you enjoy can help you meet new people that like the same things as you and build connections. It might take a few goes to get it feeling right so don't get upset if your first attempt at connection isn't what you thought it would be. Stick at it, it takes practice.",https://www.beyondblue.org.au/mental-health/loneliness,"{""mental-health"": ""https://www.beyondblue.org.au/mental-health"", ""loneliness"": ""https://www.beyondblue.org.au/mental-health/loneliness#some-help-on-your-journey-to-connection-and-belonging"", ""what-is-stress"": ""https://www.beyondblue.org.au/mental-health/what-is-stress"", ""wellbeing-action-tool"": ""https://www.beyondblue.org.au/mental-health/wellbeing-action-tool"", ""personal-stories/richard"": ""https://www.beyondblue.org.au/mental-health/personal-stories/richard"", ""loneliness/30-ways-to-connect"": ""https://www.beyondblue.org.au/mental-health/loneliness/30-ways-to-connect""}"
Stress,"Feeling stressed? You’re not alone. Stress is a natural response that everyone experiences when under pressure. It’s not always bad. It can even be healthy. But when the stress is too much, lasts for too long or affects your daily life, it can impact your mental health and wellbeing. On this page, we talk about stress and mental health and explore how to reduce stress now and over the long term. You may have heard of “fight or flight” – your body’s automatic response to perceived danger. It’s the reason why we feel physical things like a fast heartbeat when we’re stressed. If you know what stress feels like, you can take action early and protect your wellbeing. Here are some common signs and symptoms of stress: Dependence on alcohol or other substances Changes in eating or sleeping patterns Worsening of existing mental health issues Not present with family or friends Shortness of breath or chest pains Headaches, muscle aches, jaw clenching or teeth grinding Changes in menstrual cycle or libido Stress is the body’s natural response to a perceived threat or demand, whether real or imagined. Stress is often triggered by external events or situations, like a demanding job, challenging school or university assignments, financial worries, or relationship problems. Stress is usually temporary and subsides once the thing causing the stress is removed. The cause of stress could be working to a tight deadline, having a fight with a loved one, or experiencing a chronic illness. The cause of stress could be working to a tight deadline, having a fight with a loved one, or experiencing a chronic illness. Stress may make you react more emotionally to everyday situations. ​ Anxiety is a feeling of unease, worry, or dread that can result from stress or occur without an obvious trigger. Anxiety can arise from certain events or situations – but it can also build from within or have no clear cause at all. ​ Anxiety can persist even after the situation causing stress has passed, and it can become a chronic condition. It can show up as persistent worry about everyday situations, panic attacks, or intense fears about social situations, places or objects. It can show up as persistent worry about everyday situations, panic attacks, or intense fears about social situations, places or objects. Anxiety may lead to your feelings snowballing into immense fear about things that are unlikely to happen. Stress can come from many places, like big life changes or everyday demands. We’ve listed some of the most common reasons people experience stress here. Whatever’s behind your stress, reaching out early can help make things feel more manageable. When life feels overwhelming, there are simple things you can do to feel more steady. You don’t need to fix everything at once – just start with what’s in your control, take small steps, and give yourself moments to rest and reset. It’s important to recognise when stress has become hard to manage. If you find that stress is impacting your daily life, it might be time to seek help. Despite spending decades helping others get better, Geoff’s greatest challenge was taking care of himself. Stress doesn't affect your mental health Stress can't cause long-term health problems Stress doesn't lead to chronic illness Stress has no positive effects Stress doesn't impact your immune system Stress doesn't affect your sleep quality Stress and anxiety are the same thing Stress can’t make you physically sick A cardiac stress test is a good indicator of overall physical and emotional stress A visit to your GP or a psychologist can help you understand what’s going on and find the right support.",https://www.beyondblue.org.au/mental-health/what-is-stress,"{""mental-health"": ""https://www.beyondblue.org.au/mental-health"", ""what-is-stress"": ""https://www.beyondblue.org.au/mental-health/what-is-stress#relief-strategies"", ""anxiety"": ""https://www.beyondblue.org.au/mental-health/anxiety"", ""depression"": ""https://www.beyondblue.org.au/mental-health/depression"", ""alcohol-and-mental-health"": ""https://www.beyondblue.org.au/mental-health/alcohol-and-mental-health"", ""wellbeing/sleep"": ""https://www.beyondblue.org.au/mental-health/wellbeing/sleep"", ""anxiety/types-of-anxiety/panic-disorder"": ""https://www.beyondblue.org.au/mental-health/anxiety/types-of-anxiety/panic-disorder"", ""k10"": ""https://www.beyondblue.org.au/mental-health/k10"", ""financial-wellbeing"": ""https://www.beyondblue.org.au/mental-health/financial-wellbeing"", ""work/burnout"": ""https://www.beyondblue.org.au/mental-health/work/burnout"", ""natural-disasters"": ""https://www.beyondblue.org.au/mental-health/natural-disasters"", ""wellbeing/festive-stress"": ""https://www.beyondblue.org.au/mental-health/wellbeing/festive-stress"", ""work/bullying-harassment"": ""https://www.beyondblue.org.au/mental-health/work/bullying-harassment"", ""loneliness"": ""https://www.beyondblue.org.au/mental-health/loneliness"", ""older-people-and-mental-health"": ""https://www.healthdirect.gov.au/older-people-and-mental-health"", ""wellbeing/relaxation-exercises"": ""https://www.beyondblue.org.au/mental-health/wellbeing/relaxation-exercises"", ""wellbeing/keeping-active"": ""https://www.beyondblue.org.au/mental-health/wellbeing/keeping-active"", ""wellbeing/routines-and-mental-health"": ""https://www.beyondblue.org.au/mental-health/wellbeing/routines-and-mental-health"", ""wellbeing/mindfulness-and-mental-health"": ""https://www.beyondblue.org.au/mental-health/wellbeing/mindfulness-and-mental-health"", ""work/job-loss"": ""https://www.beyondblue.org.au/mental-health/work/job-loss"", ""work/small-business-owners-and-sole-traders"": ""https://www.beyondblue.org.au/mental-health/work/small-business-owners-and-sole-traders"", ""personal-stories/milli"": ""https://www.beyondblue.org.au/mental-health/personal-stories/milli"", ""personal-stories/geoff"": ""https://www.beyondblue.org.au/mental-health/personal-stories/geoff"", ""get-support/find-a-mental-health-professional"": ""https://www.beyondblue.org.au/get-support/find-a-mental-health-professional""}"
Suicide Prevention,"Sometimes life can be overwhelming, and suicide may seem like the only way to relieve the pain. 1 in 6 Australians will have thoughts of suicide at some point during their lives. Suicidal thoughts are common, but they can pass. You don't need to act on them. On this page we'll help you find information and support if you're feeling suicidal, supporting someone else or have lost someone to suicide. If you're in crisis right now, support is available. If you're seriously injured or at risk of harming yourself right now, call Triple Zero (000) for an ambulance. For free, confidential 24/7 counselling call or chat online to Lifeline or Suicide Call Back Service. No problem is too big or small. Page content continues below.​ The reasons that people take their own lives are often very complex. Risk factors (sometimes called vulnerability factors) can increase the likelihood of suicidal behaviour. Known risk factors for suicide include: history of mental health conditions such as depression, anxiety, bipolar or post-traumatic stress disorder (PTSD) history of mental health conditions such as depression, anxiety, bipolar or post-traumatic stress disorder (PTSD) relationship problems such as conflict with parents or intimate partners relationship problems such as conflict with parents or intimate partners legal or disciplinary problems legal or disciplinary problems access to harmful means, such as medication or weapons access to harmful means, such as medication or weapons recent death or suicide of a family member or a close friend recent death or suicide of a family member or a close friend ongoing exposure to bullying behaviour ongoing exposure to bullying behaviour physical illness or disability. physical illness or disability. Depression signs, symptoms and treatments Personal stories of people recovering from anxiety and depression Ownership of the Beyond Now suicide prevention app was transferred to Lifeline Australia in March 2024. The ownership change is part of the partnership between Beyond Blue and Lifeline to make it easier for all people in Australia to access the support they need, when they need it. The app remains the same and works the same. People who use it can continue to have access to their safety plan. Lifeline Australia's focus is on suicide prevention and supporting people who need urgent or immediate support, while Beyond Blue works to improve mental health early intervention and support, to prevent people from experiencing a crisis. For more information and to access Beyond Now visit Lifeline Australia’s website at www.lifeline.org.au/beyond-now Sometimes life can be overwhelming, and suicide may seem like the only way to relieve the pain. Beyond Now is an app designed to support people through these feelings. A suicide safety plan gives you 7 steps to follow if you start to feel suicidal. Often a health professional will work with you to develop a safety plan. You can also create one yourself using the Lifeline Suicide Safety Planning App, designed by Beyond Blue. Research shows that suicide safety planning: makes suicidal thoughts less severe and intense helps you cope with the thoughts A personalised suicide safety plan gives you 7 steps to follow if you start to feel suicidal: find things that can make you feel strong find things that can make you feel strong connect with people and places connect with people and places Create your personal safety plan today. If you're seriously injured or at risk of harming yourself right now, call Triple Zero (000) for an ambulance. For free, confidential 24/7 counselling call or chat online to Lifeline or Suicide Call Back Service. No problem is too big or small. What to do if your feeling suicidal If you’re feeling suicidal, please know that suicidal thoughts can pass. You don't need to act on them. On this page we’ll help you understand what suicidal thoughts are and how to stay safe if you’re feeling suicidal. If you're in crisis right now, support is available. If you're seriously injured or at risk of harming yourself right now, call Triple Zero (000) for an ambulance. For free, confidential 24/7 counselling call or chat online to Lifeline or Suicide Call Back Service. No problem is too big or small. What to do if you're feeling suicidal Looking after your mental health Research shows that the most effective way of getting through suicidal thoughts safely is to distract yourself and remove anything you could use to end your life. Reminding yourself of your reasons to live can also be helpful. If you're feeling suicidal we strongly encourage you to get support as soon as possible. Support can help to keep you safe and feel better. Skip to the support section on this page: Get support. Doing things to distract yourself from suicidal thoughts can help keep you safe. Find what works best for you. Distractions which have worked well for others include: going to places where you can be around other people going to places where you can be around other people listening to music or podcasts listening to music or podcasts watching something you like (such as a film, YouTube video or TV) watching something you like (such as a film, YouTube video or TV) being creative (for example, writing, painting or making things) being creative (for example, writing, painting or making things) keeping busy (for example, cleaning or grocery shopping). keeping busy (for example, cleaning or grocery shopping). It's important to make your space as safe as you can. Get rid of stuff that could be used to end your life. lock up or get rid of anything you could use to harm yourself lock up or get rid of anything you could use to harm yourself give your medication and car keys to someone else to look after. give your medication and car keys to someone else to look after. When you're feeling suicidal, it's easy to forget about the good things in life. Thinking about these things can help you manage until the feelings pass. Write down things that make you want to live - big or small. These might include: special people and pets in your life special people and pets in your life things that give you joy in the present (such as sights, sounds, tastes and places) things that give you joy in the present (such as sights, sounds, tastes and places) things you'd like to do or places you'd like to go in the future things you'd like to do or places you'd like to go in the future big and small things to look forward to (such as new games, books or movies) big and small things to look forward to (such as new games, books or movies) helping others, like your friends, family, community or mob. helping others, like your friends, family, community or mob. Watch more stories about finding a way through s﻿uicidal feelings Suicidal thoughts are when someone is thinking about taking their own life. People who think about suicide are not always planning to take their own life. You’re not alone: 1 in 6 Australians will have thoughts of suicide at some point during their lives. You may feel an overwhelming sense of distress and want it to end. You might feel alone or like you’re a burden to others. You might not know why, or even if, you want to end your life. Some thoughts others have had when feeling suicidal are: “I felt trapped. There was no other way I could get away.” “I felt trapped. There was no other way I could get away.” “I felt overwhelmed and out of control.” “I felt overwhelmed and out of control.” “I felt like a failure and a burden. I just wanted to make it easier for those around me.” “I felt like a failure and a burden. I just wanted to make it easier for those around me.” If someone has felt suicidal, it doesn’t mean they’ll always feel suicidal. Suicidal feelings can come and go in a matter of minutes or hours. They can be made more intense by drug and alcohol use or stressful events in your life. While suicidal thoughts may return, they’re not permanent. Someone who has experienced suicidal thoughts or attempts can go on to live a long life. Many of us find it hard to ask for support, but it can make a real difference having someone to talk to. You can talk to someone close to you that you trust. Or you can talk to a professional, such as your GP (doctor) or crisis supporters at Lifeline or Suicide Call Back Service. Find a mental health professional It's free, confidential and they're ready to help you at any time of day or night. Call 13 11 14, text 0477 131 114, or visit their website for live chat. No problem is too big or small. Suicide Call Back Service is a free, 24/7 counselling service for people affected by suicide. Call 1300 659 467 or visit their website for live online or video chat. Not sure how to start the conversation? Read our tips here: Tal﻿king to someone about your suicidal feelings. If you’re not ready to talk, consider connecting anonymously with our online peer support community. Read, share and learn from people who understand what you're going through. Visit our peer support Forums – Suicidal thoughts and self-harm A suicide safety plan gives you 7 steps to follow if you start to feel suicidal. Often a health professional will work with you to develop a safety plan. You can also create one yourself using our Beyond Now app. Research shows that safety planning: makes suicidal thoughts less severe and intense makes suicidal thoughts less severe and intense helps you cope with the thoughts. helps you cope with the thoughts. A personalised safety plan helps you cope by: recognising your warning signs reminding you of reasons to live finding things that can make you feel strong connecting with people and places Many people who think about suicide are experiencing severe depression. Sometimes they’re experiencing anxiety as well. Depression and anxiety don’t usually go away on their own. Support can help you feel better and stop you from feeling worse. Mental health professionals like a GP, psychologist, psychiatrist or counsellor can review your symptoms and help you decide what support you need. Support options may include therapy or medication. A GP can also write a mental health treatment plan so you can get Medicare rebates. When you book an appointment with a doctor, ask for a longer or double appointment to talk about a mental health treatment plan. Find a mental health professional If you’re not ready to talk to someone yet, you can use an app to support you to manage your suicidal thoughts. iBobbly is a social and emotional wellbeing self-help app for﻿ young First Nations peoples aged 15 years and over. Our counsellors can help point you in the right direction.",https://www.beyondblue.org.au/mental-health/suicide-prevention,"{""mental-health"": ""https://www.beyondblue.org.au/mental-health"", ""tel:000"": ""https://www.beyondblue.org.au/mental-health/tel:000"", ""suicide-prevention/suicidal-feelings"": ""https://www.beyondblue.org.au/mental-health/suicide-prevention/suicidal-feelings#looking-after-your-mental-health"", ""suicide-prevention/suicide-safety-planning"": ""https://www.beyondblue.org.au/mental-health/suicide-prevention/suicide-safety-planning"", ""depression"": ""https://www.beyondblue.org.au/mental-health/depression"", ""personal-stories"": ""https://www.beyondblue.org.au/mental-health/personal-stories"", ""suicide-prevention"": ""https://www.beyondblue.org.au/mental-health/suicide-prevention"", ""suicide-prevention/feeling-suicidal"": ""https://www.beyondblue.org.au/mental-health/suicide-prevention/feeling-suicidal#get-support"", ""get-support/find-a-mental-health-professional"": ""https://www.beyondblue.org.au/get-support/find-a-mental-health-professional""}"
